trade_id,setup_id,date,entry_time,exit_time,duration,exit_reason,ce_sell_strike,pe_sell_strike,ce_sell_entry,pe_sell_entry,ce_sell_exit,pe_sell_exit,ce_sell_pnl,pe_sell_pnl,ce_hedge_strike,pe_hedge_strike,ce_hedge_buy_entry,pe_hedge_buy_entry,ce_hedge_buy_exit,pe_hedge_buy_exit,ce_hedge_pnl,pe_hedge_pnl,total_pnl,quantity
1,ce_scalping_aggressive,2025-08-13,300,647,347,TARGET,584.0,N/A,0.365,0.000,0.155,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
2,ce_scalping_aggressive,2025-08-13,600,690,90,TARGET,583.0,N/A,0.485,0.000,0.255,0.000,23.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,23.00,1
3,pe_scalping,2025-08-13,600,703,103,STOP_LOSS,N/A,581.0,0.000,0.755,0.000,1.355,0.00,-60.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-60.00,1
4,ce_scalping_aggressive,2025-08-13,900,1154,254,TARGET,582.0,N/A,0.475,0.000,0.265,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
5,ce_scalping,2025-08-13,500,1178,678,TARGET,583.0,N/A,0.375,0.000,0.115,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
6,pe_scalping_aggressive,2025-08-13,350,1258,908,STOP_LOSS,N/A,578.0,0.000,0.245,0.000,0.615,0.00,-37.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-37.00,1
7,ce_scalping,2025-08-13,1000,1268,268,TARGET,582.0,N/A,0.425,0.000,0.165,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
8,pe_scalping_aggressive,2025-08-13,1050,1271,221,STOP_LOSS,N/A,578.0,0.000,0.315,0.000,0.675,0.00,-36.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-36.00,1
9,pe_scalping,2025-08-13,1200,1384,184,TARGET,N/A,579.0,0.000,0.795,0.000,0.475,0.00,32.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,32.00,1
10,ce_scalping,2025-08-13,1500,2055,555,TARGET,581.0,N/A,0.595,0.000,0.335,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
11,ce_scalping_aggressive,2025-08-13,1200,2304,1104,TARGET,581.0,N/A,0.455,0.000,0.245,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
12,pe_scalping_aggressive,2025-08-13,700,2773,2073,TARGET,N/A,577.0,0.000,0.285,0.000,0.095,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
13,pe_scalping_aggressive,2025-08-13,1400,2773,1373,TARGET,N/A,578.0,0.000,0.365,0.000,0.175,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
14,pe_scalping,2025-08-14,600,819,219,TARGET,N/A,580.0,0.000,1.015,0.000,0.705,0.00,31.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,31.00,1
15,ce_scalping_aggressive,2025-08-14,300,906,606,STOP_LOSS,582.0,N/A,0.455,0.000,0.865,0.000,-41.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-41.00,1
16,ce_scalping,2025-08-14,500,906,406,STOP_LOSS,582.0,N/A,0.365,0.000,0.865,0.000,-50.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-50.00,1
17,ce_scalping_aggressive,2025-08-14,900,1140,240,TARGET,583.0,N/A,0.395,0.000,0.185,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
18,ce_scalping_aggressive,2025-08-14,600,1372,772,TARGET,583.0,N/A,0.285,0.000,0.075,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
19,ce_scalping,2025-08-14,1000,1372,372,TARGET,583.0,N/A,0.335,0.000,0.075,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
20,pe_scalping_aggressive,2025-08-14,1050,1388,338,STOP_LOSS,N/A,577.0,0.000,0.275,0.000,0.655,0.00,-38.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-38.00,1
21,pe_scalping,2025-08-14,1200,1388,188,STOP_LOSS,N/A,579.0,0.000,0.675,0.000,1.285,0.00,-61.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-61.00,1
22,ce_scalping_aggressive,2025-08-14,1200,1390,190,TARGET,582.0,N/A,0.345,0.000,0.135,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
23,pe_scalping_aggressive,2025-08-14,700,1391,691,STOP_LOSS,N/A,577.0,0.000,0.335,0.000,0.685,0.00,-35.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-35.00,1
24,pe_scalping_aggressive,2025-08-14,350,2503,2153,TARGET,N/A,575.0,0.000,0.265,0.000,0.075,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
25,pe_scalping_aggressive,2025-08-14,1400,2639,1239,TARGET,N/A,574.0,0.000,0.245,0.000,0.055,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
26,ce_scalping,2025-08-14,1500,2820,1320,STOP_LOSS,581.0,N/A,0.295,0.000,0.795,0.000,-50.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-50.00,1
27,ce_scalping,2025-08-15,500,1042,542,TARGET,581.0,N/A,0.345,0.000,0.085,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
28,ce_scalping_aggressive,2025-08-15,300,1043,743,TARGET,580.0,N/A,0.385,0.000,0.175,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
29,ce_scalping_aggressive,2025-08-15,1200,1545,345,TARGET,579.0,N/A,0.405,0.000,0.195,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
30,pe_scalping,2025-08-15,600,1549,949,STOP_LOSS,N/A,577.0,0.000,0.735,0.000,1.485,0.00,-75.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-75.00,1
31,pe_scalping_aggressive,2025-08-15,700,1550,850,STOP_LOSS,N/A,575.0,0.000,0.295,0.000,0.645,0.00,-35.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-35.00,1
32,ce_scalping_aggressive,2025-08-15,600,1551,951,TARGET,581.0,N/A,0.255,0.000,0.045,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
33,ce_scalping,2025-08-15,1000,1553,553,TARGET,579.0,N/A,0.435,0.000,0.175,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
34,pe_scalping_aggressive,2025-08-15,1400,1574,174,STOP_LOSS,N/A,575.0,0.000,0.375,0.000,0.725,0.00,-35.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-35.00,1
35,pe_scalping,2025-08-15,1200,1589,389,STOP_LOSS,N/A,576.0,0.000,0.585,0.000,1.185,0.00,-60.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,-60.00,1
36,ce_scalping_aggressive,2025-08-15,900,2037,1137,TARGET,580.0,N/A,0.265,0.000,0.055,0.000,21.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,21.00,1
37,pe_scalping_aggressive,2025-08-15,1050,2367,1317,TARGET,N/A,574.0,0.000,0.345,0.000,0.155,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
38,pe_scalping_aggressive,2025-08-15,350,2377,2027,TARGET,N/A,572.0,0.000,0.275,0.000,0.085,0.00,19.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,19.00,1
39,ce_scalping,2025-08-15,1500,3951,2451,TARGET,579.0,N/A,0.305,0.000,0.045,0.000,26.00,0.00,N/A,N/A,0.000,0.000,0.000,0.000,0.00,0.00,26.00,1
