trade_id,setup_id,date,entry_time,exit_time,duration,exit_reason,ce_strike,pe_strike,ce_entry,pe_entry,ce_exit,pe_exit,total_pnl,quantity
1,CE_Scalping,2025-08-13,100,294,194,TARGET,584.0,N/A,0.700,0.000,0.430,0.000,26.00,1
2,CE_Scalping,2025-08-13,400,855,455,TARGET,583.0,N/A,0.480,0.000,0.210,0.000,26.00,1
3,CE_Scalping,2025-08-13,700,1154,454,TARGET,582.0,N/A,0.530,0.000,0.270,0.000,25.00,1
4,CE_Scalping,2025-08-14,400,918,518,STOP_LOSS,582.0,N/A,0.490,0.000,0.980,0.000,-50.00,1
5,CE_Scalping,2025-08-14,100,1302,1202,TARGET,582.0,N/A,0.580,0.000,0.310,0.000,26.00,1
6,CE_Scalping,2025-08-14,700,1309,609,TARGET,582.0,N/A,0.560,0.000,0.290,0.000,26.00,1
7,CE_Scalping,2025-08-15,100,180,80,TARGET,581.0,N/A,0.530,0.000,0.270,0.000,25.00,1
8,CE_Scalping,2025-08-15,400,847,447,TARGET,580.0,N/A,0.590,0.000,0.320,0.000,26.00,1
9,CE_Scalping,2025-08-15,700,889,189,TARGET,580.0,N/A,0.520,0.000,0.260,0.000,25.00,1
10,CE_Scalping,2025-08-18,100,236,136,TARGET,579.0,N/A,0.590,0.000,0.320,0.000,26.00,1
11,CE_Scalping,2025-08-18,400,880,480,TARGET,578.0,N/A,0.540,0.000,0.280,0.000,25.00,1
12,CE_Scalping,2025-08-18,700,897,197,TARGET,578.0,N/A,0.490,0.000,0.220,0.000,26.00,1
13,CE_Scalping,2025-08-19,100,188,88,TARGET,576.0,N/A,0.650,0.000,0.390,0.000,25.00,1
14,CE_Scalping,2025-08-19,400,547,147,TARGET,576.0,N/A,0.650,0.000,0.390,0.000,25.00,1
15,CE_Scalping,2025-08-19,700,1057,357,TARGET,575.0,N/A,0.400,0.000,0.140,0.000,25.00,1
16,CE_Scalping,2025-08-20,100,222,122,TARGET,570.0,N/A,0.470,0.000,0.200,0.000,26.00,1
17,CE_Scalping,2025-08-20,400,492,92,TARGET,566.0,N/A,0.580,0.000,0.310,0.000,26.00,1
18,CE_Scalping,2025-08-20,700,985,285,TARGET,564.0,N/A,0.510,0.000,0.250,0.000,25.00,1
19,CE_Scalping,2025-08-21,100,172,72,TARGET,568.0,N/A,0.580,0.000,0.310,0.000,26.00,1
20,CE_Scalping,2025-08-21,700,885,185,TARGET,569.0,N/A,0.420,0.000,0.150,0.000,26.00,1
21,CE_Scalping,2025-08-21,400,1200,800,TARGET,568.0,N/A,0.420,0.000,0.150,0.000,26.00,1
22,CE_Scalping,2025-08-22,100,343,243,STOP_LOSS,571.0,N/A,0.540,0.000,1.310,0.000,-78.00,1
23,CE_Scalping,2025-08-22,400,448,48,STOP_LOSS,574.0,N/A,0.600,0.000,1.090,0.000,-50.00,1
24,CE_Scalping,2025-08-22,700,1340,640,TARGET,575.0,N/A,0.610,0.000,0.350,0.000,25.00,1
